text,sentiment,cleaned_tokenization,cleaned_stopwords,cleaned_stemming,cleaned_lemmatization,cleaned_stemming_plus,cleaned_lemmatization_misspell
Thanks for the recent follow Happy to connect happy  have a great Thursday.  Get FREE?,positive,thanks for the recent follow happy to connect happy have great thursday get free,thanks recent follow happy connect happy great thursday get free,thank recent follow happi connect happi great thursday get free,thanks recent follow happy connect happy great thursday get free,thank recent follow happi connect happi great thursday get free,thanks recent follow happy connect happy great thursday get free
Thanks for the recent follow Happy to connect happy  have a great Thursday.,positive,thanks for the recent follow happy to connect happy have great thursday,thanks recent follow happy connect happy great thursday,thank recent follow happi connect happi great thursday,thanks recent follow happy connect happy great thursday,thank recent follow happi connect happi great thursday,thanks recent follow happy connect happy great thursday
Thanks for the follow! happy,positive,thanks for the follow happy,thanks follow happy,thank follow happi,thanks follow happy,thank follow happi,thanks follow happy
EVERY time I think that my skin is getting better,positive,every time think that my skin is getting better,every time think skin getting better,everi time think skin get better,every time think skin getting better,everi time think skin get better,every time think skin getting better
 it just proves me wrong in a matter of days happy  fuck my life happy )),positive,it just proves me wrong in matter of days happy fuck my life happy,proves wrong matter days happy fuck life happy,prove wrong matter day happi fuck life happi,prof wrong matter day happy fuck life happy,prove wrong matter day happi fuck life happi,prof wrong matter day happy fuck life happy
Can you PM me ? :D,positive,can you pm me,pm,pm,pm,pm,pm
I had but I have just seen the email. SO GOOD :D,positive,had but have just seen the email so good,seen email good,seen email good,seen email good,seen email good,seen email good
Released my 3rd episode of programming for everyone! Be sure to check it out happy,positive,released my rd episode of programming for everyone be sure to check it out happy,released rd episode programming everyone sure check happy,releas rd episod program everyon sure check happi,released rd episode programming everyone sure check happy,releas rd episod program everyon sure check happi,released rd episode programming everyone sure check happy
i think instant message meant to stay single and fix people's relationships my entire life smile,positive,think instant message meant to stay single and fix peoples relationships my entire life smile,think instant message meant stay single fix peoples relationships entire life smile,think instant messag meant stay singl fix peopl relationship entir life smile,think instant message meant stay single fix people relationship entire life smile,think instant messag meant stay singl fix peopl relationship entir life smile,think instant message meant stay single fix people relationship entire life smile
we will be never ready actually happy  idhuellam dialogue ku dhan othu varum..,positive,we will be never ready actually happy idhuellam dialogue ku dhan othu varum,never ready actually happy idhuellam dialogue ku dhan othu varum,never readi actual happi idhuellam dialogu ku dhan othu varum,never ready actually happy idhuellam dialogue ku dhan othu varum,never readi actual happi idhuellam dialogu ku dhan othu varum,never ready actually happy idhuellam dialogue ku dhan othu varum
Yes,positive,yes,yes,ye,yes,ye,yes
 this is the main reason I drink Total selflessness :D,positive,this is the main reason drink total selflessness,main reason drink total selflessness,main reason drink total selfless,main reason drink total selflessness,main reason drink total selfless,main reason drink total selflessness
Yep I'm going back to school to become an editor hopefully. Can't wait! Your sister really believes in my skills happy,positive,yep im going back to school to become an editor hopefully cant wait your sister really believes in my skills happy,yep im going back school become editor hopefully cant wait sister really believes skills happy,yep im go back school becom editor hope cant wait sister realli believ skill happi,yep im going back school become editor hopefully cant wait sister really belief skill happy,yep im go back school becom editor hope cant wait sister realli believ skill happi,yep im going back school become editor hopefully cant wait sister really belief skill happy
Thanks for being top engaged community members this week happy  Want this,positive,thanks for being top engaged community members this week happy want this,thanks top engaged community members week happy want,thank top engag commun member week happi want,thanks top engaged community member week happy want,thank top engag commun member week happi want,thanks top engaged community member week happy want
Currently standing outside the shard with a bag full of empty bottles because I came to work with tom today happy,positive,currently standing outside the shard with bag full of empty bottles because came to work with tom today happy,currently standing outside shard bag full empty bottles came work tom today happy,current stand outsid shard bag full empti bottl came work tom today happi,currently standing outside shard bag full empty bottle came work tom today happy,current stand outsid shard bag full empti bottl came work tom today happi,currently standing outside shard bag full empty bottle came work tom today happy
